,month,day,fuel,moisture,drought,initial_spread,temp,humidity,wind,rain,area_burned
258,aug,sat,91.8,170.9,692.3,13.7,23.7,40,1.8,0.0,1.38
259,aug,mon,93.6,97.9,542.0,14.4,28.3,32,4.0,0.0,8.85
260,aug,fri,91.6,112.4,573.0,8.9,11.2,84,7.6,0.0,3.3
261,aug,fri,91.6,112.4,573.0,8.9,21.4,42,3.1,0.0,4.25
262,aug,fri,91.1,141.1,629.1,7.1,19.3,39,3.6,0.0,1.56
263,aug,fri,94.3,167.6,684.4,13.0,21.8,53,3.1,0.0,6.54
264,aug,tue,93.7,102.2,550.3,14.6,22.1,54,7.6,0.0,0.79
265,aug,tue,94.3,131.7,607.1,22.7,19.4,55,4.0,0.0,0.17
266,aug,tue,92.1,152.6,658.2,14.3,23.7,24,3.1,0.0,0.0
267,aug,tue,92.1,152.6,658.2,14.3,21.0,32,3.1,0.0,0.0
268,aug,tue,92.1,152.6,658.2,14.3,19.1,53,2.7,0.0,4.4
269,aug,tue,92.1,152.6,658.2,14.3,21.8,56,3.1,0.0,0.52
270,aug,tue,92.1,152.6,658.2,14.3,20.1,58,4.5,0.0,9.27
271,aug,tue,92.1,152.6,658.2,14.3,20.2,47,4.0,0.0,3.09
272,dec,sun,84.4,27.2,353.5,6.8,4.8,57,8.5,0.0,8.98
273,dec,wed,84.0,27.8,354.6,5.3,5.1,61,8.0,0.0,11.19
274,dec,thu,84.6,26.4,352.0,2.0,5.1,61,4.9,0.0,5.38
275,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,17.85
276,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,10.73
277,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,22.03
278,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,9.77
279,dec,fri,84.7,26.7,352.6,4.1,2.2,59,4.9,0.0,9.27
280,dec,tue,85.4,25.4,349.7,2.6,5.1,24,8.5,0.0,24.77
281,feb,sun,84.9,27.5,353.5,3.4,4.2,51,4.0,0.0,0.0
282,feb,wed,86.9,6.6,18.7,3.2,8.8,35,3.1,0.0,1.1
283,feb,fri,85.2,4.9,15.8,6.3,7.5,46,8.0,0.0,24.24
284,jul,sun,93.9,169.7,411.8,12.3,23.4,40,6.3,0.0,0.0
285,jul,wed,91.2,183.1,437.7,12.5,12.6,90,7.6,0.2,0.0
286,jul,sat,91.6,104.2,474.9,9.0,22.1,49,2.7,0.0,0.0
287,jul,sat,91.6,104.2,474.9,9.0,24.2,32,1.8,0.0,0.0
288,jul,sat,91.6,104.2,474.9,9.0,24.3,30,1.8,0.0,0.0
289,jul,sat,91.6,104.2,474.9,9.0,18.7,53,1.8,0.0,0.0
290,jul,sat,91.6,104.2,474.9,9.0,25.3,39,0.9,0.0,8.0
291,jul,fri,91.6,100.2,466.3,6.3,22.9,40,1.3,0.0,2.64
292,jul,tue,93.1,180.4,430.8,11.0,26.9,28,5.4,0.0,86.45
293,jul,tue,92.3,88.8,440.9,8.5,17.1,67,3.6,0.0,6.57
294,jun,sun,93.1,180.4,430.8,11.0,22.2,48,1.3,0.0,0.0
295,jun,sun,90.4,89.5,290.8,6.4,14.3,46,1.8,0.0,0.9
296,jun,sun,90.4,89.5,290.8,6.4,15.4,45,2.2,0.0,0.0
297,jun,wed,91.2,147.8,377.2,12.7,19.6,43,4.9,0.0,0.0
298,jun,sat,53.4,71.0,233.8,0.4,10.6,90,2.7,0.0,0.0
299,jun,mon,90.4,93.3,298.1,7.5,20.7,25,4.9,0.0,0.0
300,jun,mon,90.4,93.3,298.1,7.5,19.1,39,5.4,0.0,3.52
301,jun,fri,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0,0.0
302,jun,fri,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0,0.0
303,may,sat,85.1,28.0,113.8,3.5,11.3,94,4.9,0.0,0.0
304,sep,sun,89.6,84.1,714.3,5.7,19.0,52,2.2,0.0,0.0
305,sep,sun,89.6,84.1,714.3,5.7,17.1,53,5.4,0.0,0.41
306,sep,sun,89.6,84.1,714.3,5.7,23.8,35,3.6,0.0,5.18
307,sep,sun,92.4,105.8,758.1,9.9,16.0,45,1.8,0.0,0.0
308,sep,sun,92.4,105.8,758.1,9.9,24.9,27,2.2,0.0,0.0
309,sep,sun,92.4,105.8,758.1,9.9,25.3,27,2.7,0.0,0.0
310,sep,sun,92.4,105.8,758.1,9.9,24.8,28,1.8,0.0,14.29
311,sep,sun,50.4,46.2,706.6,0.4,12.2,78,6.3,0.0,0.0
312,sep,wed,92.6,115.4,777.1,8.8,24.3,27,4.9,0.0,0.0
313,sep,wed,92.6,115.4,777.1,8.8,19.7,41,1.8,0.0,1.58
314,sep,wed,91.2,134.7,817.5,7.2,18.5,30,2.7,0.0,0.0
315,sep,thu,92.4,96.2,739.4,8.6,18.6,24,5.8,0.0,0.0
316,sep,thu,92.4,96.2,739.4,8.6,19.2,24,4.9,0.0,3.78
317,sep,thu,92.8,119.0,783.5,7.5,21.6,27,2.2,0.0,0.0
318,sep,thu,92.8,119.0,783.5,7.5,21.6,28,6.3,0.0,4.41
319,sep,thu,92.8,119.0,783.5,7.5,18.9,34,7.2,0.0,34.36
320,sep,thu,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,7.21
321,sep,thu,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,1.01
322,sep,thu,90.7,136.9,822.8,6.8,12.9,39,2.7,0.0,2.18
323,sep,thu,88.1,53.3,726.9,5.4,13.7,56,1.8,0.0,4.42
324,sep,sat,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0,0.0
325,sep,sat,92.2,102.3,751.5,8.4,24.1,27,3.1,0.0,0.0
326,sep,sat,92.2,102.3,751.5,8.4,21.2,32,2.2,0.0,0.0
327,sep,sat,92.2,102.3,751.5,8.4,19.7,35,1.8,0.0,0.0
328,sep,sat,92.2,102.3,751.5,8.4,23.5,27,4.0,0.0,3.33
329,sep,sat,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0,6.58
330,sep,sat,91.2,124.4,795.3,8.5,21.5,28,4.5,0.0,15.64
331,sep,sat,91.2,124.4,795.3,8.5,17.1,41,2.2,0.0,11.22
332,sep,mon,92.1,87.7,721.1,9.5,18.1,54,3.1,0.0,2.13
333,sep,mon,91.6,108.4,764.0,6.2,18.0,51,5.4,0.0,0.0
334,sep,mon,91.6,108.4,764.0,6.2,9.8,86,1.8,0.0,0.0
335,sep,mon,91.6,108.4,764.0,6.2,19.3,44,2.2,0.0,0.0
336,sep,mon,91.6,108.4,764.0,6.2,23.0,34,2.2,0.0,56.04
337,sep,mon,91.6,108.4,764.0,6.2,22.7,35,2.2,0.0,7.48
338,sep,mon,91.6,108.4,764.0,6.2,20.4,41,1.8,0.0,1.47
339,sep,mon,91.6,108.4,764.0,6.2,19.3,44,2.2,0.0,3.93
340,sep,mon,91.9,111.7,770.3,6.5,15.7,51,2.2,0.0,0.0
341,sep,mon,91.5,130.1,807.1,7.5,20.6,37,1.8,0.0,0.0
342,sep,mon,91.5,130.1,807.1,7.5,15.9,51,4.5,0.0,2.18
343,sep,mon,91.5,130.1,807.1,7.5,12.2,66,4.9,0.0,6.1
344,sep,mon,91.5,130.1,807.1,7.5,16.8,43,3.1,0.0,5.83
345,sep,mon,91.5,130.1,807.1,7.5,21.3,35,2.2,0.0,28.19
346,sep,fri,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,0.0
347,sep,fri,92.1,99.0,745.3,9.6,17.4,57,4.5,0.0,0.0
348,sep,fri,92.1,99.0,745.3,9.6,12.8,64,3.6,0.0,1.64
349,sep,fri,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,3.71
350,sep,fri,92.1,99.0,745.3,9.6,15.4,53,6.3,0.0,7.31
351,sep,fri,92.1,99.0,745.3,9.6,20.6,43,3.6,0.0,2.03
352,sep,fri,92.1,99.0,745.3,9.6,19.8,47,2.7,0.0,1.72
353,sep,fri,92.1,99.0,745.3,9.6,18.7,50,2.2,0.0,5.97
354,sep,fri,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0,13.06
355,sep,fri,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0,1.26
356,sep,fri,92.5,122.0,789.7,10.2,15.9,55,3.6,0.0,0.0
357,sep,fri,92.5,122.0,789.7,10.2,19.7,39,2.7,0.0,0.0
358,sep,fri,92.5,122.0,789.7,10.2,21.1,39,2.2,0.0,8.12
359,sep,fri,92.5,122.0,789.7,10.2,18.4,42,2.2,0.0,1.09
360,sep,fri,92.5,122.0,789.7,10.2,17.3,45,4.0,0.0,3.94
361,sep,fri,88.2,55.2,732.3,11.6,15.2,64,3.1,0.0,0.52
362,sep,tue,91.9,111.7,770.3,6.5,15.9,53,2.2,0.0,2.93
363,sep,tue,91.9,111.7,770.3,6.5,21.1,35,2.7,0.0,5.65
364,sep,tue,91.9,111.7,770.3,6.5,19.6,45,3.1,0.0,20.03
365,sep,tue,91.1,132.3,812.1,12.5,15.9,38,5.4,0.0,1.75
366,sep,tue,91.1,132.3,812.1,12.5,16.4,27,3.6,0.0,0.0
367,sep,sat,91.2,94.3,744.4,8.4,16.8,47,4.9,0.0,12.64
368,sep,sun,91.0,276.3,825.1,7.1,13.8,77,7.6,0.0,0.0
369,sep,sun,91.0,276.3,825.1,7.1,13.8,77,7.6,0.0,11.06
370,jul,wed,91.9,133.6,520.5,8.0,14.2,58,4.0,0.0,0.0
371,aug,sun,92.0,203.2,664.5,8.1,10.4,75,0.9,0.0,0.0
372,aug,thu,94.8,222.4,698.6,13.9,20.3,42,2.7,0.0,0.0
373,sep,fri,90.3,290.0,855.3,7.4,10.3,78,4.0,0.0,18.3
374,sep,sat,91.2,94.3,744.4,8.4,15.4,57,4.9,0.0,39.35
375,aug,mon,92.1,207.0,672.6,8.2,21.1,54,2.2,0.0,0.0
376,aug,sat,93.7,231.1,715.1,8.4,21.9,42,2.2,0.0,174.63
377,mar,thu,90.9,18.9,30.6,8.0,8.7,51,5.8,0.0,0.0
378,jan,sun,18.7,1.1,171.4,0.0,5.2,100,0.9,0.0,0.0
379,jul,wed,93.7,101.3,458.8,11.9,19.3,39,7.2,0.0,7.73
380,aug,thu,90.7,194.1,643.0,6.8,16.2,63,2.7,0.0,16.33
381,aug,wed,95.2,217.7,690.0,18.0,28.2,29,1.8,0.0,5.86
382,aug,thu,91.6,248.4,753.8,6.3,20.5,58,2.7,0.0,42.87
383,aug,sat,91.6,273.8,819.1,7.7,21.3,44,4.5,0.0,12.18
384,aug,sun,91.6,181.3,613.0,7.6,20.9,50,2.2,0.0,16.0
385,sep,sun,90.5,96.7,750.5,11.4,20.6,55,5.4,0.0,24.59
386,mar,thu,90.9,18.9,30.6,8.0,11.6,48,5.4,0.0,0.0
387,aug,fri,94.8,227.0,706.7,12.0,23.3,34,3.1,0.0,28.74
388,aug,fri,94.8,227.0,706.7,12.0,23.3,34,3.1,0.0,0.0
389,feb,mon,84.7,9.5,58.3,4.1,7.5,71,6.3,0.0,9.96
390,sep,fri,91.1,91.3,738.1,7.2,20.7,46,2.7,0.0,30.18
391,sep,sun,91.0,276.3,825.1,7.1,21.9,43,4.0,0.0,70.76
392,mar,tue,93.4,15.0,25.6,11.4,15.2,19,7.6,0.0,0.0
393,feb,mon,84.1,4.6,46.7,2.2,5.3,68,1.8,0.0,0.0
394,feb,sun,85.0,9.0,56.9,3.5,10.1,62,1.8,0.0,51.78
395,sep,sun,90.5,96.7,750.5,11.4,20.4,55,4.9,0.0,3.64
396,aug,sun,91.6,181.3,613.0,7.6,24.3,33,3.6,0.0,3.63
397,aug,sat,93.7,231.1,715.1,8.4,25.9,32,3.1,0.0,0.0
398,jun,wed,93.3,49.5,297.7,14.0,28.0,34,4.5,0.0,0.0
399,jun,wed,93.3,49.5,297.7,14.0,28.0,34,4.5,0.0,8.16
400,sep,thu,91.1,88.2,731.7,8.3,22.8,46,4.0,0.0,4.95
401,aug,fri,94.8,227.0,706.7,12.0,25.0,36,4.0,0.0,0.0
402,aug,thu,90.7,194.1,643.0,6.8,21.3,41,3.6,0.0,0.0
403,sep,wed,87.9,84.8,725.1,3.7,21.8,34,2.2,0.0,6.04
404,aug,tue,94.6,212.1,680.9,9.5,27.9,27,2.2,0.0,0.0
405,sep,sat,87.1,291.3,860.6,4.0,17.0,67,4.9,0.0,3.95
406,feb,sat,84.7,8.2,55.0,2.9,14.2,46,4.0,0.0,0.0
407,sep,fri,90.3,290.0,855.3,7.4,19.9,44,3.1,0.0,7.8
408,jul,tue,92.3,96.2,450.2,12.1,23.4,31,5.4,0.0,0.0
409,feb,fri,84.1,7.3,52.8,2.7,14.7,42,2.7,0.0,0.0
410,feb,fri,84.6,3.2,43.6,3.3,8.2,53,9.4,0.0,4.62
411,jul,mon,92.3,92.1,442.1,9.8,22.8,27,4.5,0.0,1.63
412,aug,sat,93.7,231.1,715.1,8.4,26.4,33,3.6,0.0,0.0
413,aug,sun,93.6,235.1,723.1,10.1,24.1,50,4.0,0.0,0.0
414,aug,thu,94.8,222.4,698.6,13.9,27.5,27,4.9,0.0,746.28
415,jul,tue,92.7,164.1,575.8,8.9,26.3,39,3.1,0.0,7.02
416,mar,wed,93.4,17.3,28.3,9.9,13.8,24,5.8,0.0,0.0
417,aug,sun,92.0,203.2,664.5,8.1,24.9,42,5.4,0.0,2.44
418,aug,sun,91.6,181.3,613.0,7.6,24.8,36,4.0,0.0,3.05
419,aug,wed,91.7,191.4,635.9,7.8,26.2,36,4.5,0.0,185.76
420,aug,wed,95.2,217.7,690.0,18.0,30.8,19,4.5,0.0,0.0
421,jul,sun,88.9,263.1,795.9,5.2,29.3,27,3.6,0.0,6.3
422,sep,sat,91.2,94.3,744.4,8.4,22.3,48,4.0,0.0,0.72
423,aug,sat,93.7,231.1,715.1,8.4,26.9,31,3.6,0.0,4.96
424,aug,thu,91.6,248.4,753.8,6.3,20.4,56,2.2,0.0,0.0
425,aug,thu,91.6,248.4,753.8,6.3,20.4,56,2.2,0.0,0.0
426,aug,mon,92.1,207.0,672.6,8.2,27.9,33,2.2,0.0,2.35
427,aug,thu,94.8,222.4,698.6,13.9,26.2,34,5.8,0.0,0.0
428,aug,sun,91.6,181.3,613.0,7.6,24.6,44,4.0,0.0,3.2
429,sep,thu,89.7,287.2,849.3,6.8,19.4,45,3.6,0.0,0.0
430,aug,sat,92.1,178.0,605.3,9.6,23.3,40,4.0,0.0,6.36
431,aug,thu,94.8,222.4,698.6,13.9,23.9,38,6.7,0.0,0.0
432,aug,sun,93.6,235.1,723.1,10.1,20.9,66,4.9,0.0,15.34
433,aug,fri,90.6,269.8,811.2,5.5,22.2,45,3.6,0.0,0.0
434,jul,sat,90.8,84.7,376.6,5.6,23.8,51,1.8,0.0,0.0
435,aug,mon,92.1,207.0,672.6,8.2,26.8,35,1.3,0.0,0.54
436,aug,sat,89.4,253.6,768.4,9.7,14.2,73,2.7,0.0,0.0
437,aug,sat,93.7,231.1,715.1,8.4,23.6,53,4.0,0.0,6.43
438,sep,fri,91.1,91.3,738.1,7.2,19.1,46,2.2,0.0,0.33
439,sep,fri,90.3,290.0,855.3,7.4,16.2,58,3.6,0.0,0.0
440,aug,mon,92.1,207.0,672.6,8.2,25.5,29,1.8,0.0,1.23
441,apr,mon,87.9,24.9,41.6,3.7,10.9,64,3.1,0.0,3.35
442,jul,fri,90.7,80.9,368.3,16.8,14.8,78,8.0,0.0,0.0
443,sep,fri,90.3,290.0,855.3,7.4,16.2,58,3.6,0.0,9.96
444,aug,sun,94.0,47.9,100.7,10.7,17.3,80,4.5,0.0,0.0
445,aug,sun,92.0,203.2,664.5,8.1,19.1,70,2.2,0.0,0.0
446,mar,wed,93.4,17.3,28.3,9.9,8.9,35,8.0,0.0,0.0
447,sep,wed,89.7,284.9,844.0,10.1,10.5,77,4.0,0.0,0.0
448,aug,sun,91.6,181.3,613.0,7.6,19.3,61,4.9,0.0,0.0
449,aug,wed,95.2,217.7,690.0,18.0,23.4,49,5.4,0.0,6.43
450,aug,fri,90.5,196.8,649.9,16.3,11.8,88,4.9,0.0,9.71
451,aug,mon,91.5,238.2,730.6,7.5,17.7,65,4.0,0.0,0.0
452,aug,thu,89.4,266.2,803.3,5.6,17.4,54,3.1,0.0,0.0
453,aug,thu,91.6,248.4,753.8,6.3,16.8,56,3.1,0.0,0.0
454,jul,mon,94.6,160.0,567.2,16.7,17.9,48,2.7,0.0,0.0
455,aug,thu,91.6,248.4,753.8,6.3,16.6,59,2.7,0.0,0.0
456,aug,wed,91.7,191.4,635.9,7.8,19.9,50,4.0,0.0,82.75
457,aug,sat,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,3.32
458,aug,sat,91.6,273.8,819.1,7.7,15.5,72,8.0,0.0,1.94
459,aug,sat,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,0.0
460,aug,sat,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,0.0
461,sep,sun,91.0,276.3,825.1,7.1,14.5,76,7.6,0.0,3.71
462,feb,tue,75.1,4.4,16.2,1.9,4.6,82,6.3,0.0,5.39
463,feb,tue,75.1,4.4,16.2,1.9,5.1,77,5.4,0.0,2.14
464,feb,sat,79.5,3.6,15.3,1.8,4.6,59,0.9,0.0,6.84
465,mar,mon,87.2,15.1,36.9,7.1,10.2,45,5.8,0.0,3.18
466,mar,wed,90.2,18.5,41.1,7.3,11.2,41,5.4,0.0,5.55
467,mar,thu,91.3,20.6,43.5,8.5,13.3,27,3.6,0.0,6.61
468,apr,sun,91.0,14.6,25.6,12.3,13.7,33,9.4,0.0,61.13
469,apr,sun,91.0,14.6,25.6,12.3,17.6,27,5.8,0.0,0.0
470,may,fri,89.6,25.4,73.7,5.7,18.0,40,4.0,0.0,38.48
471,jun,mon,88.2,96.2,229.0,4.7,14.3,79,4.0,0.0,1.94
472,jun,sat,90.5,61.1,252.6,9.4,24.5,50,3.1,0.0,70.32
473,jun,thu,93.0,103.8,316.7,10.8,26.4,35,2.7,0.0,10.08
474,jun,thu,93.7,121.7,350.2,18.0,22.7,40,9.4,0.0,3.19
475,jul,thu,93.5,85.3,395.0,9.9,27.2,28,1.3,0.0,1.76
476,jul,sun,93.7,101.3,423.4,14.7,26.1,45,4.0,0.0,7.36
477,jul,sun,93.7,101.3,423.4,14.7,18.2,82,4.5,0.0,2.21
478,jul,mon,89.2,103.9,431.6,6.4,22.6,57,4.9,0.0,278.53
479,jul,thu,93.2,114.4,560.0,9.5,30.2,25,4.5,0.0,2.75
480,jul,thu,93.2,114.4,560.0,9.5,30.2,22,4.9,0.0,0.0
481,aug,sun,94.9,130.3,587.1,14.1,23.4,40,5.8,0.0,1.29
482,aug,sun,94.9,130.3,587.1,14.1,31.0,27,5.4,0.0,0.0
483,aug,sun,94.9,130.3,587.1,14.1,33.1,25,4.0,0.0,26.43
484,aug,mon,95.0,135.5,596.3,21.3,30.6,28,3.6,0.0,2.07
485,aug,tue,95.1,141.3,605.8,17.7,24.1,43,6.3,0.0,2.0
486,aug,tue,95.1,141.3,605.8,17.7,26.4,34,3.6,0.0,16.4
487,aug,tue,95.1,141.3,605.8,17.7,19.4,71,7.6,0.0,46.7
488,aug,wed,95.1,141.3,605.8,17.7,20.6,58,1.3,0.0,0.0
489,aug,wed,95.1,141.3,605.8,17.7,28.7,33,4.0,0.0,0.0
490,aug,thu,95.8,152.0,624.1,13.8,32.4,21,4.5,0.0,0.0
491,aug,fri,95.9,158.0,633.6,11.3,32.4,27,2.2,0.0,0.0
492,aug,fri,95.9,158.0,633.6,11.3,27.5,29,4.5,0.0,43.32
493,aug,sat,96.0,164.0,643.0,14.0,30.8,30,4.9,0.0,8.59
494,aug,mon,96.2,175.5,661.8,16.8,23.9,42,2.2,0.0,0.0
495,aug,mon,96.2,175.5,661.8,16.8,32.6,26,3.1,0.0,2.77
496,aug,tue,96.1,181.1,671.2,14.3,32.3,27,2.2,0.0,14.68
497,aug,tue,96.1,181.1,671.2,14.3,33.3,26,2.7,0.0,40.54
498,aug,tue,96.1,181.1,671.2,14.3,27.3,63,4.9,6.4,10.82
499,aug,tue,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0.0
500,aug,tue,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0.0
501,aug,tue,96.1,181.1,671.2,14.3,20.7,69,4.9,0.4,0.0
502,aug,wed,94.5,139.4,689.1,20.0,29.2,30,4.9,0.0,1.95
503,aug,wed,94.5,139.4,689.1,20.0,28.9,29,4.9,0.0,49.59
504,aug,thu,91.0,163.2,744.4,10.1,26.7,35,1.8,0.0,5.8
505,aug,fri,91.0,166.9,752.6,7.1,18.5,73,8.5,0.0,0.0
506,aug,fri,91.0,166.9,752.6,7.1,25.9,41,3.6,0.0,0.0
507,aug,fri,91.0,166.9,752.6,7.1,25.9,41,3.6,0.0,0.0
508,aug,fri,91.0,166.9,752.6,7.1,21.1,71,7.6,1.4,2.17
509,aug,fri,91.0,166.9,752.6,7.1,18.2,62,5.4,0.0,0.43
510,aug,sun,81.6,56.7,665.6,1.9,27.8,35,2.7,0.0,0.0
511,aug,sun,81.6,56.7,665.6,1.9,27.8,32,2.7,0.0,6.44
512,aug,sun,81.6,56.7,665.6,1.9,21.9,71,5.8,0.0,54.29
513,aug,sun,81.6,56.7,665.6,1.9,21.2,70,6.7,0.0,11.16
514,aug,sat,94.4,146.0,614.7,11.3,25.6,42,4.0,0.0,0.0
